"1870";"DPA";"NACIONAL / ANGOLA (DPA)";"1";"/293/2/";"/293/"
"251977";"2";"MESA 2";"128";"/293/2/1/1/1/36/2/";"/293/2/1/1/1/36/"
"251978";"3";"MESA 3";"128";"/293/2/1/1/1/36/3/";"/293/2/1/1/1/36/"
"251979";"4";"MESA 4";"128";"/293/2/1/1/1/36/4/";"/293/2/1/1/1/36/"
"251986";"2092";"ESCOLA PRIMÁRIA COMANDANTE DANGERAUX (2)";"64";"/293/2/1/1/1/37/";"/293/2/1/1/1/"
"251987";"1";"MESA 1";"128";"/293/2/1/1/1/37/1/";"/293/2/1/1/1/37/"
"251988";"2";"MESA 2";"128";"/293/2/1/1/1/37/2/";"/293/2/1/1/1/37/"
"251989";"3";"MESA 3";"128";"/293/2/1/1/1/37/3/";"/293/2/1/1/1/37/"
"251990";"4";"MESA 4";"128";"/293/2/1/1/1/37/4/";"/293/2/1/1/1/37/"
"251997";"2093";"ESCOLA PRIMÁRIA COMANDANTE DANGERAUX (3)";"64";"/293/2/1/1/1/38/";"/293/2/1/1/1/"
"251998";"1";"MESA 1";"128";"/293/2/1/1/1/38/1/";"/293/2/1/1/1/38/"
"251999";"2";"MESA 2";"128";"/293/2/1/1/1/38/2/";"/293/2/1/1/1/38/"
"252000";"3";"MESA 3";"128";"/293/2/1/1/1/38/3/";"/293/2/1/1/1/38/"
"690551";"4";"MESA 4";"128";"/293/2/1/1/1/38/4/";"/293/2/1/1/1/38/"
"252001";"2094";"CAMPO DE MADÔMBOLO";"64";"/293/2/1/1/1/39/";"/293/2/1/1/1/"
"252002";"1";"MESA 1";"128";"/293/2/1/1/1/39/1/";"/293/2/1/1/1/39/"
"252003";"2";"MESA 2";"128";"/293/2/1/1/1/39/2/";"/293/2/1/1/1/39/"
"252004";"3";"MESA 3";"128";"/293/2/1/1/1/39/3/";"/293/2/1/1/1/39/"
"252005";"4";"MESA 4";"128";"/293/2/1/1/1/39/4/";"/293/2/1/1/1/39/"
"252006";"5";"MESA 5";"128";"/293/2/1/1/1/39/5/";"/293/2/1/1/1/39/"
"251803";"2059";"UNIVERSIDADE 11 DE NOVEMBRO";"64";"/293/2/1/1/1/4/";"/293/2/1/1/1/"
